"@id ","O11 Eqp Manufacturer ","O11 Eqp Model ","O11 Eqp Model Num ","O11 Eqp Description ","O11 Eqp Memory ","O11 Eqp Harddrive ","O11 Eqp Processor ","O11 Eqp Features ","O11 Eqp Accessories ","O11 Eqp Toner Type ","O11 Eqp Purchase Date ","O11 Eqp Warrenty Type ","O11 Eqp Warrenty Length ","O11 Eqp Warrenty End Date ","O11 Eqp Lease Term ","O11 Eqp Term Length ","O11 Eqp Lease End Date ","O11 Eqp Service Type ","O11 Eqp Service Vendor ","O11 Eqp Service Start Date ","O11 Eqp Service Length ","O11 Eqp Type "
"MBP13L11c","Apple","MacBook Pro","MBP13L11c","FY2012 MacBook Pro 13 Lat 2011","4GB 1333MHz DDR3","500GB 5400RPM","2.4GHz dual-core Intel Core i5","SuperDrive","Power Adapter","","2011-12-26","Apple Limited Warranty","3 YEAR","2014-12-27","","","","","","","","Laptop"
"","","","","","","","","13.3”" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","Intel HD Graphics 3000","","","","","","","","","","","","","",""
"iPh4S_2012_32","Apple","iPhone","MC919LL-A","iPhone 4S 32 GB FY2012","","32 GB","","","USB 2.0 cable","","2011-08-23","Apple Limited Warranty","1 YEAR","2012-08-22","","","","","","","","Handheld"
"","","","","","","","","","Earphones","","","","","","","","","","","","",""
"","","","","","","","","","USB Power Adapter","","","","","","","","","","","","",""
"iPad3_2013_3Wb","Apple","iPad","MC706LL-A","FY2013 iPad3 WiFi  32 GB","","32 GB","","WiFi (802.11 a/b/g/n)","USB 2.0 cable","","2012-08-13","Apple Limited Warranty","1 YEAR","2013-08-14","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 2.1","10W USB Power Adapter","","","","","","","","","","","","",""
"MBAIR11M12c","Apple","MacBook Air","MBAIR11M12c","FY2013 11 MBAir Student Model","8GB  DDR3 1600MHz","128 GB Flash Storage","1.7 GHz dual-core Intel i5","11.6 LCD","Power Adapter","","2012-09-05","Apple Limited Warranty","3 YEAR","2015-09-06","","","","","","","","Laptop"
"","","","","","","","","Thunderbolt Port","Video Adapter","","","","","","","","","","","","",""
"MBP15M12e","Apple","MacBook Pro","MBP15M12e","FY2013 MacBook Pro 15 Mid 2012","4GB 1600MHz DDR3","500GB 5400RPM","2.3GHz quad-core Intel Core i7","SuperDrive","Power Adapter","","2012-12-26","Apple Limited Warranty","3 YEAR","2015-12-27","","","","","","","","Laptop"
"","","","","","","","","15.4"" LCD","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","AMD Radeon HD 6490M","","","","","","","","","","","","","",""
"","","","","","","","","Thunderbolt Port","","","","","","","","","","","","","",""
"iPadM_2014_32Wa","Apple","iPad","MD529LL-A","FY2014 iPadM WiFi  32 GB","","32 GB","","WiFi (802.11 a/b/g/n)","10W USB Power Adapter","","2013-07-04","Apple Limited Warranty","1 YEAR","2014-07-05","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 4.0","Lightening to USB cable","","","","","","","","","","","","",""
"MBAIR13M13b","Apple","MacBook Air","MBAIR13M13b","FY2014 13 MBAir","8 GB  DDR3","256 GB","1.3 GHz Core Duo Intel i5","13.3”" LCD","Power Adapter","","2013-10-13","Apple Limited Warranty","3 YEAR","2016-10-14","","","","","","","","Laptop"
"","","","","","","","","Solid State Hard Drive","Video Adapter","","","","","","","","","","","","",""
"","","","","","","","","Thunderbolt Port","","","","","","","","","","","","","",""
"T20L","IBM","T20","","Loaner","","","","","","","","","","","","","","","","","","Laptop"
"iPadM_2014_16Wc","Apple","iPad","MF432LL-A","FY2014 iPadM WiFi 16 GB","","16 GB","","WiFi (802.11 a/b/g/n)","10W USB Power Adapter","","2013-11-24","Apple Limited Warranty","1 YEAR","2014-11-25","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 4.0","Lightening to USB cable","","","","","","","","","","","","",""
"MBPR13E15a","Apple","MacBook Pro","MBPR13E15a","FY2015 MacBook Pro Retina 13 E 2015","16GB 1600MHz DDR3","256GB 5400RPM","3.1GHz dual-core Intel Core i7","13.3”" LCD","Power Adapter","","2015-04-28","Apple Limited Warranty","3 YEAR","2018-04-29","","","","","","","","Laptop"
"","","","","","","","","Thunderbolt Port","Mini-Display to VGA Adapter","","","","","","","","","","","","",""
"","","","","","","","","Intel Iris Graphics 6100","","","","","","","","","","","","","",""
"","","","","","","","","HDMI video output","","","","","","","","","","","","","",""
"","","","","","","","","SDXC card slot","","","","","","","","","","","","","",""
"Vectra VL","HP","Vectra VL","","HP Vectra VL Desktop","","","","","","","","","","","","","","","","","","Desktop"
"AppleTV_2016b","Apple","Apple TV","MGY52LL-A","FY2016 Apple TV 4th Gen","","32GB","","","Power Cable","","2016-04-24","Apple Limited Warranty","2 YEAR","2018-04-25","","","","","","","","Multimedia"
"iPad_2017_32Wa","Apple","iPad","MP2F2LL/A","FY2017 iPad WIFI 32 GB","","32 GB","","WiFi (802.11 a/b/g/n)","USB 2.0 cable","","2017-03-29","Apple Limited Warranty","1 YEAR","2018-03-30","","","","","","","","Handheld"
"","","","","","","","","Bluetooth 2.1","10W USB Power Adapter","","","","","","","","","","","","",""
"iMac27R5K17a","Apple","iMac","iMac27R5K17a","FY2018 iMAC 27"" Retina 5K","16 GB 1600MHz DDR3","1 TB Fusion Drive","3.5 GHz quad-core Intel i5","Built-In FaceTime HD camera","Apple Magic Mouse","","2017-08-12","Apple Care","3 YEAR","2020-08-13","","","","","","","","Desktop"
"","","","","","","","","Two Thunderbolt ports","Apple Wireless Keyboard","","","","","","","","","","","","",""
"","","","","","","","","SDXC card slot","","","","","","","","","","","","","",""
"","","","","","","","","Four USB 3 ports","","","","","","","","","","","","","",""
"","","","","","","",""," AMD Radeon R9 M390 w/2GB","","","","","","","","","","","","","",""
"R31-Loaner","IBM","R31","","Loaner","","","","","","","","","","","","","","","","","","Laptop"
